yyyyq,dsr,dsr_demean,mdsr,cdsr,f,f_demean,Rfree,Index,D12,E12,SP500,dp,dy,ep,cay_ll,cay_goyal,ERP,ERP4,ERP8,ERP12,ERP16,ERP24,ERP50,sp1,sp4,sp8,sp12,sp16,sp24,sp50,ik,b/m,tbl,AAA,BAA,lty,ntis,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,D3,E3,y
19072,NaN,NaN,NaN,NaN,NaN,NaN,0.01137416,7.84,0.42,0.71,-0.010778443,0.053571429,0.050299401,0.090561224,NaN,NaN,-0.022152603,-0.001197736,0.05615558,0.059167141,0.050669879,0.045815547,0.051625584,-0.010778443,0.011593577,0.06625915,0.068662208,0.060219638,0.055169589,0.060976818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005670234,NaN,NaN,NaN,NaN,NaN,NaN
19073,NaN,NaN,NaN,NaN,NaN,NaN,0.012826083,7.45,0.43,0.685,0.005102041,0.057718121,0.054846939,0.091946309,NaN,NaN,-0.007724042,0.045691306,0.076336509,0.056826734,0.057115395,0.045320765,0.052819179,0.005102041,0.057592409,0.085823944,0.066171858,0.066392218,0.054671721,0.062169079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007407294,NaN,NaN,NaN,NaN,NaN,NaN
19074,NaN,NaN,NaN,NaN,NaN,NaN,0.015324638,6.57,0.44,0.66,-0.059060403,0.066971081,0.059060403,0.100456621,NaN,NaN,-0.074385041,0.076568668,0.086825224,0.059054029,0.053662999,0.04970472,0.053352752,-0.059060403,0.087076061,0.095645372,0.068246688,0.062647797,0.059026049,0.06268363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013699247,NaN,NaN,NaN,NaN,NaN,NaN
19081,NaN,NaN,NaN,NaN,NaN,NaN,0.011640371,6.87,0.43,0.64,0.111111111,0.062590975,0.065449011,0.093158661,NaN,NaN,0.09947074,0.131785743,0.101602051,0.070079893,0.064343009,0.052279471,0.054022387,0.111111111,0.140396853,0.109774733,0.078873588,0.072899049,0.061438052,0.063334273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006504024,NaN,NaN,NaN,NaN,NaN,NaN
19082,NaN,NaN,NaN,NaN,NaN,NaN,0.007813317,7.64,0.42,0.62,0.173216885,0.054973822,0.061135371,0.081151832,NaN,NaN,0.165403568,0.113508896,0.08934958,0.067959085,0.062195568,0.051664656,0.052916715,0.173216885,0.120924723,0.097196524,0.076428325,0.070503178,0.060669326,0.062286294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00489115,NaN,NaN,NaN,NaN,NaN,NaN
19083,NaN,NaN,NaN,NaN,NaN,NaN,0.007251245,8.17,0.41,0.6,0.123036649,0.050183599,0.053664921,0.073439412,NaN,NaN,0.115785404,0.106981711,0.062394448,0.060923425,0.056430016,0.045766623,0.047916931,0.123036649,0.114055479,0.070461582,0.069325487,0.064751047,0.054754039,0.057424243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005053919,NaN,NaN,NaN,NaN,NaN,NaN
19084,NaN,NaN,NaN,NaN,NaN,NaN,0.007739507,9.03,0.4,0.58,0.154222766,0.044296788,0.048959608,0.064230343,NaN,NaN,0.146483259,0.09708178,0.05029671,0.046027776,0.053509679,0.04037205,0.047000358,0.154222766,0.104214684,0.058832001,0.054505043,0.062006455,0.049550637,0.056631645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003603016,NaN,NaN,NaN,NaN,NaN,NaN
19091,NaN,NaN,NaN,NaN,NaN,NaN,0.006859239,8.92,0.41,0.625,0.033222591,0.045964126,0.045404208,0.070067265,NaN,NaN,0.026363352,0.071418359,0.039226968,0.041862098,0.043606547,0.034300267,0.044271774,0.033222591,0.079152614,0.048111955,0.050399781,0.052367532,0.043612969,0.053997771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00340206,NaN,NaN,NaN,NaN,NaN,NaN
19092,NaN,NaN,NaN,NaN,NaN,NaN,0.006445082,9.8,0.42,0.67,0.14573991,0.042857143,0.047085202,0.068367347,NaN,NaN,0.139294828,0.065190264,0.045184179,0.045091125,0.04064553,0.036554031,0.045134488,0.14573991,0.073468325,0.054180126,0.053695996,0.049624809,0.045873819,0.0549608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001847548,NaN,NaN,NaN,NaN,NaN,NaN
19093,NaN,NaN,NaN,NaN,NaN,NaN,0.007487791,10.19,0.43,0.715,0.083673469,0.042198234,0.043877551,0.07016683,NaN,NaN,0.076185678,0.017807185,0.037894282,0.039579451,0.029812893,0.035381893,0.045663425,0.083673469,0.026867685,0.046960491,0.048316237,0.03909561,0.044727567,0.055555836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002927541,NaN,NaN,NaN,NaN,NaN,NaN
