year,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,ep,dp,dy,de,ERP,SP500
1932,6.89,0.5,0.41,1.442084301,0.0004,0.0459,0.0842,0.0315,NaN,-0.005031571,0.0004,-0.103577705,0.037267081,0.168452113,0.108202241,0.307451657,NaN,NaN,-0.088907379,-0.148370369,0.06,0.07256894,0.061576355,1.219512195,-0.090301478,-0.089901478
1933,10.1,0.44,0.44,0.829026046,0.0029,0.045,0.0775,0.0336,NaN,0.006195828,0.0029,0.004298585,0.401055409,-0.000693027,0.103760563,0.221816956,NaN,NaN,0.532511723,0.472273114,0.044,0.043564356,0.063860668,1,0.526853266,0.529753266
1934,9.5,0.45,0.49,0.773740869,0.0023,0.0381,0.0623,0.0293,NaN,0.020814719,0.0023,0.02010409,0.071283096,0.100149979,0.138434461,0.06659176,NaN,NaN,-0.024841879,-0.06188622,0.052,0.047368421,0.044554455,0.918367347,-0.017151485,-0.014851485
1935,13.43,0.47,0.76,0.559911191,0.0015,0.0344,0.053,0.0276,NaN,0.008688835,0.0015,0.029605318,0.06619594,0.049960876,0.096148561,0.035506836,NaN,NaN,0.45633068,0.39969069,0.057,0.034996277,0.049473684,0.618421053,0.461657895,0.463157895
1936,17.18,0.72,1.02,0.458588105,0.0012,0.031,0.0453,0.0255,NaN,0.025224722,0.0012,0.011962564,0.120576671,0.074958063,0.067442837,0.031256437,NaN,NaN,0.334178354,0.279453312,0.059,0.041909197,0.053611318,0.705882353,0.331636932,0.332836932
1937,10.55,0.8,1.13,0.707488622,0.0011,0.0321,0.0573,0.0273,NaN,0.031777728,0.0011,0.030851292,0.312371558,0.002326474,0.027467315,0.099632593,0.002833122,NaN,-0.359935285,-0.394225009,0.107,0.075829384,0.046565774,0.707964602,-0.340448079,-0.339348079
1938,13.21,0.51,0.64,0.572039388,0.0003,0.0308,0.0527,0.0252,NaN,0.005721713,0.0003,-0.027960921,0.044922789,0.055118173,0.061326554,0.11214283,0.004166964,NaN,0.29308403,0.242537273,0.048,0.038607116,0.048341232,0.796875,0.300173934,0.300473934
1939,12.49,0.62,0.9,0.58070538,0.0004,0.0294,0.0492,0.0226,NaN,0.002550784,0.0004,-0.004993176,0.085489834,0.059497143,0.03966276,0.066420314,0.006074034,NaN,-0.011042432,-0.056695143,0.072,0.049639712,0.046934141,0.688888889,-0.007970023,-0.007570023
1940,10.58,0.67,1.05,0.72904751,0.0002,0.0271,0.0445,0.0194,NaN,0.012589189,0.0002,0.009512142,0.118711545,0.060922431,0.033940852,0.048049995,0.004261973,NaN,-0.097791805,-0.151699658,0.099,0.063327032,0.053642914,0.638095238,-0.099479424,-0.099279424
1941,8.69,0.71,1.16,0.889509733,0.0033,0.028,0.0438,0.0204,NaN,0.010342826,0.0033,0.096548983,0.11420932,0.009318208,0.027314184,0.022472428,0.003446983,NaN,-0.113972166,-0.176767922,0.133,0.081703107,0.06710775,0.612068966,-0.114831191,-0.111531191
1942,9.77,0.59,1.03,0.862646566,0.0038,0.0281,0.0428,0.0246,NaN,0.001812004,0.0038,0.09243564,0.123800384,0.032178429,0.025981138,0.018050979,0.005100943,NaN,0.209608774,0.129990877,0.105,0.060388946,0.067894131,0.572815534,0.188374914,0.192174914
1943,11.67,0.61,0.94,0.787401575,0.0038,0.0274,0.0382,0.0248,NaN,0.014422526,0.0038,0.031335627,0.164305949,0.0208789,0.028325935,0.01608653,0.001962398,NaN,0.266658807,0.203312701,0.081,0.05227078,0.062436029,0.64893617,0.253108905,0.256908905
1944,13.28,0.64,0.93,0.743763575,0.0038,0.027,0.0349,0.0246,NaN,0.019062447,0.0038,0.021012204,0.164524422,0.028150892,0.047321891,0.008399503,0.003522317,NaN,0.211633507,0.151353138,0.07,0.048192771,0.054841474,0.688172043,0.189002057,0.192802057
1945,17.36,0.66,0.96,0.613239334,0.0038,0.0261,0.031,0.0199,-0.041337725,0.025525278,0.0038,0.022415866,0.211740042,0.107309039,0.040756743,0.015969244,0.004328006,NaN,0.366645234,0.309747175,0.055,0.038018433,0.049698795,0.6875,0.353127711,0.356927711
1946,15.3,0.71,1.06,0.692437923,0.0038,0.0261,0.0317,0.0212,0.058284144,0.036076061,0.0038,0.17870343,0.318482102,-0.000841924,0.017229556,0.046371092,0.001781041,NaN,-0.09279653,-0.128428177,0.069,0.046405229,0.040898618,0.669811321,-0.081564977,-0.077764977
1947,15.3,0.84,1.61,0.725325679,0.0095,0.0286,0.0352,0.0243,0.074768467,0.025921595,0.0095,0.089267308,0.239629866,-0.026274662,-0.023363835,0.01933852,0.004760925,0.034360054,0.049090889,-0.006499786,0.105,0.054901961,0.054901961,0.52173913,0.045401961,0.054901961
1948,15.2,0.93,2.29,0.840947547,0.0116,0.0279,0.0353,0.0237,0.05664406,0.015014554,0.0116,0.027338744,0.157140449,0.033850148,0.041358787,0.02209981,0.00163301,0.034829535,0.052581722,-0.008405079,0.151,0.061184211,0.060784314,0.406113537,0.042648366,0.054248366
1949,16.76,1.14,2.32,0.796429284,0.011,0.0258,0.0331,0.0209,0.050287779,0.027175585,0.011,-0.018295218,0.191869113,0.06439053,0.033087624,0.012305916,0.004252018,0.02893483,0.180574489,0.097705313,0.138,0.068019093,0.075,0.49137931,0.166631579,0.177631579
1950,20.41,1.47,2.84,0.722538442,0.0134,0.0267,0.032,0.0224,0.005194172,0.031358256,0.0134,0.05802626,0.227022781,0.00050483,0.021151812,0.021461309,0.005662515,0.03439039,0.329458209,0.230298829,0.139,0.072023518,0.087708831,0.517605634,0.29208926,0.30548926
